id,title,original_language,release_date,budget,revenue,runtime,vote_average,vote_count
862,Toy Story,en,1995-10-30,30000000,373554033,81.0,7.7,5415
8844,Jumanji,en,1995-12-15,65000000,262797249,104.0,6.9,2413
15602,Grumpier Old Men,en,1995-12-22,0,0,101.0,6.5,92
31357,Waiting to Exhale,en,1995-12-22,16000000,81452156,127.0,6.1,34
11862,Father of the Bride Part II,en,1995-02-10,0,76578911,106.0,5.7,173
949,Heat,en,1995-12-15,60000000,187436818,170.0,7.7,1886
11860,Sabrina,en,1995-12-15,58000000,0,127.0,6.2,141
45325,Tom and Huck,en,1995-12-22,0,0,97.0,5.4,45
9091,Sudden Death,en,1995-12-22,35000000,64350171,106.0,5.5,174
710,GoldenEye,en,1995-11-16,58000000,352194034,130.0,6.6,1194
9087,The American President,en,1995-11-17,62000000,107879496,106.0,6.5,199
12110,Dracula: Dead and Loving It,en,1995-12-22,0,0,88.0,5.7,210
21032,Balto,en,1995-12-22,0,11348324,78.0,7.1,423
10858,Nixon,en,1995-12-22,44000000,13681765,192.0,7.1,72
1408,Cutthroat Island,en,1995-12-22,98000000,10017322,119.0,5.7,137
524,Casino,en,1995-11-22,52000000,116112375,178.0,7.8,1343
4584,Sense and Sensibility,en,1995-12-13,16500000,135000000,136.0,7.2,364
5,Four Rooms,en,1995-12-09,4000000,4300000,98.0,6.5,539
9273,Ace Ventura: When Nature Calls,en,1995-11-10,30000000,212385533,90.0,6.1,1128
11517,Money Train,en,1995-11-21,60000000,35431113,103.0,5.4,224
8012,Get Shorty,en,1995-10-20,30250000,115101622,105.0,6.4,305
1710,Copycat,en,1995-10-27,0,0,124.0,6.5,199
9691,Assassins,en,1995-10-06,50000000,30303072,132.0,6.0,394
12665,Powder,en,1995-10-27,0,0,111.0,6.3,143
451,Leaving Las Vegas,en,1995-10-27,3600000,49800000,112.0,7.1,365
16420,Othello,en,1995-12-15,0,0,123.0,7.0,33
9263,Now and Then,en,1995-10-20,12000000,27400000,100.0,6.6,91
17015,Persuasion,en,1995-09-27,0,0,104.0,7.4,36
902,The City of Lost Children,fr,1995-05-16,18000000,1738611,108.0,7.6,308
37557,Shanghai Triad,zh,1995-04-30,0,0,108.0,6.5,17
9909,Dangerous Minds,en,1995-08-11,0,180000000,99.0,6.4,249
63,Twelve Monkeys,en,1995-12-29,29500000,168840000,129.0,7.4,2470
78802,Wings of Courage,fr,1996-09-18,0,0,50.0,6.8,4
9598,Babe,en,1995-07-18,30000000,254134910,89.0,6.0,756
47018,Carrington,en,1995-11-08,0,0,121.0,6.4,16
687,Dead Man Walking,en,1995-12-29,11000000,39363635,122.0,7.3,350
139405,Across the Sea of Time,en,1995-10-20,0,0,51.0,3.5,2
33689,It Takes Two,en,1995-11-17,0,0,101.0,6.1,149
9603,Clueless,en,1995-07-19,12000000,0,97.0,6.9,828
34615,"Cry, the Beloved Country",en,1995-12-15,0,676525,106.0,6.7,13
31174,Richard III,en,1995-12-29,0,0,104.0,6.9,50
11443,Dead Presidents,en,1995-10-06,10000000,0,119.0,6.6,80
35196,Restoration,en,1995-12-29,19000000,0,117.0,6.3,30
9312,Mortal Kombat,en,1995-08-18,18000000,122195920,101.0,5.4,452
577,To Die For,en,1995-05-20,20000000,21284514,106.0,6.7,177
11861,How To Make An American Quilt,en,1995-10-06,10000000,23574130,116.0,6.5,38
807,Se7en,en,1995-09-22,33000000,327311859,127.0,8.1,5915
10530,Pocahontas,en,1995-06-14,55000000,346079773,81.0,6.7,1509
8391,When Night Is Falling,en,1995-05-05,0,0,96.0,5.9,10
629,The Usual Suspects,en,1995-07-19,6000000,23341568,106.0,8.1,3334
